name,capital,region,subregion,population,area,latitude,longitude,density,fecha_extraccion
Libya,Tripoli,Africa,Northern Africa,7459000,1759540.0,25.0,17.0,4.239176148311491,2026-04-14T16:56:47.774723
Estonia,Tallinn,Europe,Northern Europe,1369995,45227.0,59.0,26.0,30.291529396157163,2026-04-14T16:56:47.774732
Cook Islands,Avarua,Oceania,Polynesia,15040,236.0,-21.23333333,-159.76666666,63.728813559322035,2026-04-14T16:56:47.774736
Puerto Rico,San Juan,Americas,Caribbean,3203295,8870.0,18.25,-66.5,361.1381059751973,2026-04-14T16:56:47.774740
Belarus,Minsk,Europe,Eastern Europe,9109280,207600.0,53.0,28.0,43.87899807321773,2026-04-14T16:56:47.774744
Faroe Islands,Tórshavn,Europe,Northern Europe,54885,1393.0,62.0,-7.0,39.40057430007179,2026-04-14T16:56:47.774748
Saint Vincent and the Grenadines,Kingstown,Americas,Caribbean,110872,389.0,13.25,-61.2,285.0179948586118,2026-04-14T16:56:47.774761
Dominican Republic,Santo Domingo,Americas,Caribbean,10771504,48671.0,19.0,-70.66666666,221.31256805900844,2026-04-14T16:56:47.774768
Hungary,Budapest,Europe,Central Europe,9539502,93028.0,47.0,20.0,102.54441673474653,2026-04-14T16:56:47.774772
Bahrain,Manama,Asia,Western Asia,1594654,765.0,26.0,50.55,2084.5150326797384,2026-04-14T16:56:47.774776
Cameroon,Yaoundé,Africa,Middle Africa,29442327,475442.0,6.0,12.0,61.92622233626815,2026-04-14T16:56:47.774780
Canada,Ottawa,Americas,North America,41651653,9984670.0,60.0,-95.0,4.171560301942878,2026-04-14T16:56:47.774783
Eritrea,Asmara,Africa,Eastern Africa,3607000,117600.0,15.0,39.0,30.671768707482993,2026-04-14T16:56:47.774787
Singapore,Singapore,Asia,South-Eastern Asia,6110200,710.0,1.36666666,103.8,8605.915492957747,2026-04-14T16:56:47.774791
Costa Rica,San José,Americas,Central America,5309625,51100.0,10.0,-84.0,103.90655577299412,2026-04-14T16:56:47.774794
Serbia,Belgrade,Europe,Southeast Europe,6567783,77589.0,44.0,21.0,84.64837799172562,2026-04-14T16:56:47.774798
Poland,Warsaw,Europe,Central Europe,37392000,312679.0,52.0,20.0,119.58590119579505,2026-04-14T16:56:47.774802
Jordan,Amman,Asia,Western Asia,11734000,89342.0,31.0,36.0,131.33800452194936,2026-04-14T16:56:47.774805
